task_id	supervisor_pid	exit_code	finished_at_utc
MA1	80831	20	2026-08-16T13:17:11Z
T1	80834	0	2026-08-16T13:19:52Z
I1	80837	20	2026-08-16T13:29:48Z
I2	80840	20	2026-08-16T13:49:55Z
