task_id	supervisor_pid	exit_code	finished_at_utc
MB1	68673	20	2026-08-16T20:35:33Z
P9	68676	0	2026-08-16T20:35:33Z
P10	68679	0	2026-08-16T20:35:33Z
I4	68682	20	2026-08-16T20:35:33Z
I5	68685	20	2026-08-16T20:45:36Z
I6	68688	0	2026-08-16T20:45:36Z
